pressure_level_hpa,tightest_score_band_center,tightest_mean_spacing_deg,loosest_score_band_center,loosest_mean_spacing_deg,overall_mean_spacing_deg
1000.0,52.5,3.9586952399465622,82.5,9.671847934209774,5.24106820195951
850.0,12.5,2.869340987894317,87.5,11.217869532910271,5.5716227564053895
500.0,17.5,2.9661304598637224,27.5,9.246215764668914,5.106365010002226
250.0,52.5,2.6737493090567885,17.5,7.550205543239056,4.031045836117378
