contour_line_index,score_contour,contour_segment,vertex_count,sample_count,resolved_sample_count,unresolved_sample_count,used_arclength_fallback,total_two_nearest_distance_degrees,mean_two_nearest_distance_degrees,median_two_nearest_distance_degrees,unique_first_neighbor_line_count,unique_second_neighbor_line_count,pressure_level_hpa
39,45.0,3,99,56,56,0,False,595.5105848312378,10.634117586272103,10.950094223022461,1,1,250.0
40,45.0,4,129,70,70,0,False,515.4459111690521,7.363513016700745,7.817999958992004,2,3,250.0
41,45.0,5,423,292,292,0,False,2307.156539797783,7.901221026704736,7.123240232467651,4,6,250.0
42,50.0,0,2322,1656,1656,0,False,8456.670499622822,5.106685084313298,4.843914985656738,4,9,250.0
43,50.0,1,2105,1470,1470,0,False,7232.011717677116,4.9197358623653855,4.474651455879211,2,2,250.0
44,50.0,2,661,478,478,0,False,2781.8481415510178,5.819765986508405,5.301512598991394,2,5,250.0
45,50.0,3,605,408,408,0,False,1351.2286036014557,3.311834812748666,3.056385576725006,3,5,250.0
46,50.0,4,47,24,24,0,False,286.46507930755615,11.936044971148172,11.829339981079102,2,4,250.0
47,55.0,0,1966,1464,1464,0,False,7939.761102795601,5.423334086609017,5.4713134765625,2,3,250.0
48,55.0,1,2105,1474,1474,0,False,7054.837639331818,4.786185644051437,4.4784844517707825,2,2,250.0
49,55.0,2,467,336,336,0,False,2776.954083919525,8.26474429737954,7.557092785835266,1,2,250.0
50,55.0,3,531,370,370,0,False,1041.127394258976,2.8138578223215567,2.5310290455818176,2,3,250.0
51,55.0,4,191,134,134,0,False,982.6598784923553,7.3332826753160845,7.093267440795898,1,2,250.0
52,60.0,0,1849,1440,1440,0,False,9001.311202645302,6.2509105573925705,5.903154373168945,2,3,250.0
53,60.0,1,2104,1480,1480,0,False,7803.00633764267,5.27230157948829,5.097176194190979,2,3,250.0
54,60.0,2,479,338,338,0,False,894.431678712368,2.646247570154935,2.443530321121216,2,2,250.0
55,65.0,0,1820,1440,1440,0,False,10025.032425165176,6.961828073031373,6.429223299026489,2,3,250.0
56,65.0,1,2203,1594,1594,0,False,10375.04550909996,6.508811486260954,6.19570004940033,3,5,250.0
57,65.0,2,423,306,306,0,False,842.3769470453262,2.752865840017406,2.61178195476532,2,2,250.0
58,70.0,0,1764,1440,1440,0,False,9636.610373616219,6.692090537233485,6.345511317253113,2,3,250.0
59,70.0,1,1849,1440,1440,0,False,9923.123128652573,6.891057728230953,6.131726384162903,2,2,250.0
60,70.0,2,367,270,270,0,False,853.4243903160095,3.16083107524448,2.9626792669296265,1,1,250.0
61,70.0,3,237,144,144,0,False,1300.21846473217,9.029294893973404,6.913842082023621,1,1,250.0
62,75.0,0,1748,1440,1440,0,False,9070.683082580566,6.299085474014282,6.210768222808838,2,3,250.0
63,75.0,1,1824,1440,1440,0,False,9339.760090112686,6.485944507022698,6.19547712802887,2,3,250.0
64,75.0,2,297,224,224,0,False,1009.8950490951538,4.5084600406033655,4.283049643039703,1,2,250.0
65,80.0,0,1758,1440,1440,0,False,9780.473686337471,6.791995615512133,6.158502817153931,2,3,250.0
66,80.0,1,1788,1440,1440,0,False,8798.616383194923,6.110150266107586,5.970813274383545,2,2,250.0
67,80.0,2,117,88,88,0,False,612.1178486347198,6.955884643576362,6.826721668243408,1,1,250.0
68,85.0,0,1782,1440,1440,0,False,11808.91548204422,8.200635751419597,7.287023901939392,2,3,250.0
69,85.0,1,1778,1440,1440,0,False,9595.41274857521,6.663481075399452,6.297335624694824,2,3,250.0
70,90.0,0,1912,1450,1450,0,False,17925.03024482727,12.362089824018808,11.032412052154541,5,7,250.0
71,90.0,1,1974,1452,1452,0,False,13860.630855321884,9.545889018816725,8.956990838050842,4,7,250.0
72,95.0,0,1455,1034,1034,0,False,14857.09795331955,14.368566685995695,12.075277090072632,2,4,250.0
73,95.0,1,363,190,190,0,False,3195.1566033363342,16.81661370177018,14.166717529296875,2,4,250.0
74,95.0,2,111,60,60,0,False,997.2962989807129,16.62160498301188,17.306562900543213,2,4,250.0
75,95.0,3,629,462,462,0,False,7699.572003364563,16.665740267022862,16.061752796173096,2,4,250.0
0,5.0,0,446,256,256,0,False,4002.0062906742096,15.632837072946131,10.671817064285278,2,4,500.0
1,5.0,1,975,760,760,0,False,8936.04000094533,11.757947369664908,10.92617928981781,2,4,500.0
2,5.0,2,3,2,2,0,False,16.754296988248825,8.377148494124413,8.377148494124413,1,1,500.0
3,5.0,3,767,618,618,0,False,12101.845000982285,19.58227346437263,14.139595031738281,2,3,500.0
4,10.0,0,1186,852,852,0,False,6195.489360868931,7.271701127780435,6.473326683044434,2,7,500.0
5,10.0,1,274,236,236,0,False,4223.199296474457,17.89491227319685,17.210611581802368,3,4,500.0
6,10.0,2,332,297,297,0,False,2861.239720582962,9.633803773006607,10.211254358291626,2,3,500.0
7,10.0,3,84,50,50,0,False,687.4138555526733,13.748277111053467,13.283771514892578,3,4,500.0
8,10.0,4,1089,803,803,0,False,6491.643435060978,8.084238399826871,7.36128306388855,4,5,500.0
9,10.0,5,388,270,270,0,False,5072.207769393921,18.785954701458966,15.695799589157104,2,4,500.0
