bucket_lower,bucket_upper,bucket_center,cell_count
-180.5,-179.5,-180.0,0
-179.5,-178.5,-179.0,0
-178.5,-177.5,-178.0,0
-177.5,-176.5,-177.0,0
-176.5,-175.5,-176.0,0
-175.5,-174.5,-175.0,0
-174.5,-173.5,-174.0,0
-173.5,-172.5,-173.0,0
-172.5,-171.5,-172.0,0
-171.5,-170.5,-171.0,0
-170.5,-169.5,-170.0,28
-169.5,-168.5,-169.0,200
-168.5,-167.5,-168.0,276
-167.5,-166.5,-167.0,309
-166.5,-165.5,-166.0,339
-165.5,-164.5,-165.0,504
-164.5,-163.5,-164.0,567
-163.5,-162.5,-163.0,547
-162.5,-161.5,-162.0,523
-161.5,-160.5,-161.0,498
-160.5,-159.5,-160.0,459
-159.5,-158.5,-159.0,431
-158.5,-157.5,-158.0,425
-157.5,-156.5,-157.0,386
-156.5,-155.5,-156.0,376
-155.5,-154.5,-155.0,361
-154.5,-153.5,-154.0,328
-153.5,-152.5,-153.0,343
-152.5,-151.5,-152.0,285
-151.5,-150.5,-151.0,275
-150.5,-149.5,-150.0,288
-149.5,-148.5,-149.0,274
-148.5,-147.5,-148.0,242
-147.5,-146.5,-147.0,243
-146.5,-145.5,-146.0,253
-145.5,-144.5,-145.0,228
-144.5,-143.5,-144.0,215
-143.5,-142.5,-143.0,231
-142.5,-141.5,-142.0,206
-141.5,-140.5,-141.0,206
-140.5,-139.5,-140.0,213
-139.5,-138.5,-139.0,195
-138.5,-137.5,-138.0,193
-137.5,-136.5,-137.0,201
-136.5,-135.5,-136.0,192
-135.5,-134.5,-135.0,196
-134.5,-133.5,-134.0,172
-133.5,-132.5,-133.0,201
-132.5,-131.5,-132.0,171
-131.5,-130.5,-131.0,182
-130.5,-129.5,-130.0,177
-129.5,-128.5,-129.0,184
-128.5,-127.5,-128.0,180
-127.5,-126.5,-127.0,179
-126.5,-125.5,-126.0,187
-125.5,-124.5,-125.0,167
-124.5,-123.5,-124.0,195
-123.5,-122.5,-123.0,182
-122.5,-121.5,-122.0,192
-121.5,-120.5,-121.0,213
-120.5,-119.5,-120.0,217
-119.5,-118.5,-119.0,248
-118.5,-117.5,-118.0,240
-117.5,-116.5,-117.0,221
-116.5,-115.5,-116.0,226
-115.5,-114.5,-115.0,198
-114.5,-113.5,-114.0,203
-113.5,-112.5,-113.0,202
-112.5,-111.5,-112.0,192
-111.5,-110.5,-111.0,183
-110.5,-109.5,-110.0,188
-109.5,-108.5,-109.0,185
-108.5,-107.5,-108.0,180
-107.5,-106.5,-107.0,186
-106.5,-105.5,-106.0,173
-105.5,-104.5,-105.0,166
-104.5,-103.5,-104.0,185
-103.5,-102.5,-103.0,178
-102.5,-101.5,-102.0,167
-101.5,-100.5,-101.0,166
-100.5,-99.5,-100.0,179
-99.5,-98.5,-99.0,164
-98.5,-97.5,-98.0,259
-97.5,-96.5,-97.0,590
-96.5,-95.5,-96.0,776
-95.5,-94.5,-95.0,635
-94.5,-93.5,-94.0,630
-93.5,-92.5,-93.0,773
-92.5,-91.5,-92.0,807
-91.5,-90.5,-91.0,933
-90.5,-89.5,-90.0,901
-89.5,-88.5,-89.0,912
-88.5,-87.5,-88.0,878
-87.5,-86.5,-87.0,876
-86.5,-85.5,-86.0,980
-85.5,-84.5,-85.0,1037
-84.5,-83.5,-84.0,1570
-83.5,-82.5,-83.0,1477
-82.5,-81.5,-82.0,1456
-81.5,-80.5,-81.0,1489
-80.5,-79.5,-80.0,1390
-79.5,-78.5,-79.0,1336
-78.5,-77.5,-78.0,1351
-77.5,-76.5,-77.0,1428
-76.5,-75.5,-76.0,1383
-75.5,-74.5,-75.0,1373
-74.5,-73.5,-74.0,1658
-73.5,-72.5,-73.0,2644
-72.5,-71.5,-72.0,2673
-71.5,-70.5,-71.0,3173
-70.5,-69.5,-70.0,3271
