bucket_lower,bucket_upper,bucket_center,cell_count
-180.5,-179.5,-180.0,0
-179.5,-178.5,-179.0,0
-178.5,-177.5,-178.0,0
-177.5,-176.5,-177.0,0
-176.5,-175.5,-176.0,0
-175.5,-174.5,-175.0,0
-174.5,-173.5,-174.0,0
-173.5,-172.5,-173.0,16
-172.5,-171.5,-172.0,41
-171.5,-170.5,-171.0,57
-170.5,-169.5,-170.0,72
-169.5,-168.5,-169.0,87
-168.5,-167.5,-168.0,105
-167.5,-166.5,-167.0,117
-166.5,-165.5,-166.0,181
-165.5,-164.5,-165.0,200
-164.5,-163.5,-164.0,208
-163.5,-162.5,-163.0,231
-162.5,-161.5,-162.0,312
-161.5,-160.5,-161.0,299
-160.5,-159.5,-160.0,306
-159.5,-158.5,-159.0,291
-158.5,-157.5,-158.0,294
-157.5,-156.5,-157.0,300
-156.5,-155.5,-156.0,289
-155.5,-154.5,-155.0,285
-154.5,-153.5,-154.0,313
-153.5,-152.5,-153.0,279
-152.5,-151.5,-152.0,324
-151.5,-150.5,-151.0,284
-150.5,-149.5,-150.0,316
-149.5,-148.5,-149.0,303
-148.5,-147.5,-148.0,318
-147.5,-146.5,-147.0,313
-146.5,-145.5,-146.0,311
-145.5,-144.5,-145.0,309
-144.5,-143.5,-144.0,324
-143.5,-142.5,-143.0,338
-142.5,-141.5,-142.0,372
-141.5,-140.5,-141.0,364
-140.5,-139.5,-140.0,369
-139.5,-138.5,-139.0,385
-138.5,-137.5,-138.0,386
-137.5,-136.5,-137.0,381
-136.5,-135.5,-136.0,401
-135.5,-134.5,-135.0,450
-134.5,-133.5,-134.0,424
-133.5,-132.5,-133.0,460
-132.5,-131.5,-132.0,477
-131.5,-130.5,-131.0,511
-130.5,-129.5,-130.0,496
-129.5,-128.5,-129.0,546
-128.5,-127.5,-128.0,545
-127.5,-126.5,-127.0,559
-126.5,-125.5,-126.0,605
-125.5,-124.5,-125.0,599
-124.5,-123.5,-124.0,604
-123.5,-122.5,-123.0,623
-122.5,-121.5,-122.0,715
-121.5,-120.5,-121.0,756
-120.5,-119.5,-120.0,712
-119.5,-118.5,-119.0,746
-118.5,-117.5,-118.0,753
-117.5,-116.5,-117.0,702
-116.5,-115.5,-116.0,729
-115.5,-114.5,-115.0,774
-114.5,-113.5,-114.0,720
-113.5,-112.5,-113.0,757
-112.5,-111.5,-112.0,798
-111.5,-110.5,-111.0,748
-110.5,-109.5,-110.0,812
-109.5,-108.5,-109.0,819
-108.5,-107.5,-108.0,857
-107.5,-106.5,-107.0,858
-106.5,-105.5,-106.0,917
-105.5,-104.5,-105.0,1015
-104.5,-103.5,-104.0,1046
-103.5,-102.5,-103.0,1081
-102.5,-101.5,-102.0,1087
-101.5,-100.5,-101.0,1210
-100.5,-99.5,-100.0,1222
-99.5,-98.5,-99.0,1138
-98.5,-97.5,-98.0,1113
-97.5,-96.5,-97.0,1202
-96.5,-95.5,-96.0,1187
-95.5,-94.5,-95.0,1141
-94.5,-93.5,-94.0,1100
-93.5,-92.5,-93.0,1135
-92.5,-91.5,-92.0,1018
-91.5,-90.5,-91.0,1014
-90.5,-89.5,-90.0,923
-89.5,-88.5,-89.0,998
-88.5,-87.5,-88.0,986
-87.5,-86.5,-87.0,989
-86.5,-85.5,-86.0,999
-85.5,-84.5,-85.0,1060
-84.5,-83.5,-84.0,1028
-83.5,-82.5,-83.0,1086
-82.5,-81.5,-82.0,1178
-81.5,-80.5,-81.0,1124
-80.5,-79.5,-80.0,1085
-79.5,-78.5,-79.0,1241
-78.5,-77.5,-78.0,1357
-77.5,-76.5,-77.0,1352
-76.5,-75.5,-76.0,1322
-75.5,-74.5,-75.0,1443
-74.5,-73.5,-74.0,1397
-73.5,-72.5,-73.0,1445
-72.5,-71.5,-72.0,1550
-71.5,-70.5,-71.0,1610
-70.5,-69.5,-70.0,1632
