pressure_level_hpa,map,array,color_vmax_degrees,color_vmax_percentile,contour_line_count,sampled_contour_point_count,periodic_sampled_contour_point_count,nearest_sample_query_count,grid_cell_count,unresolved_two_line_cell_count,distance_sum_min_degrees,distance_sum_max_degrees,distance_sum_mean_degrees,distance_sum_p50_degrees,distance_sum_p95_degrees,distance_sum_p995_degrees
250.0,experiments/thermal-displacement-latitude-agreement/output/global-contour-two-nearest-distance-sum-step5-250-1000/heatmaps/two_nearest_contour_distance_sum_250hpa.png,experiments/thermal-displacement-latitude-agreement/output/global-contour-two-nearest-distance-sum-step5-250-1000/arrays/two_nearest_contour_distance_sum_250hpa.npy,35.95072555541992,99.5,76,129784,389352,96,1026720,0,0.2598852813243866,46.142696380615234,6.41977596282959,4.00340461730957,20.21957778930664,35.95072555541992
500.0,experiments/thermal-displacement-latitude-agreement/output/global-contour-two-nearest-distance-sum-step5-250-1000/heatmaps/two_nearest_contour_distance_sum_500hpa.png,experiments/thermal-displacement-latitude-agreement/output/global-contour-two-nearest-distance-sum-step5-250-1000/arrays/two_nearest_contour_distance_sum_500hpa.npy,27.332393646240234,99.5,52,107070,321210,96,1026720,0,0.2571331262588501,40.1151008605957,6.86224365234375,4.92359733581543,18.881444931030273,27.332393646240234
850.0,experiments/thermal-displacement-latitude-agreement/output/global-contour-two-nearest-distance-sum-step5-250-1000/heatmaps/two_nearest_contour_distance_sum_850hpa.png,experiments/thermal-displacement-latitude-agreement/output/global-contour-two-nearest-distance-sum-step5-250-1000/arrays/two_nearest_contour_distance_sum_850hpa.npy,25.380666732788086,99.5,59,104263,312789,96,1026720,0,0.25371965765953064,36.359214782714844,6.422674655914307,4.957334518432617,15.492703437805176,25.380666732788086
1000.0,experiments/thermal-displacement-latitude-agreement/output/global-contour-two-nearest-distance-sum-step5-250-1000/heatmaps/two_nearest_contour_distance_sum_1000hpa.png,experiments/thermal-displacement-latitude-agreement/output/global-contour-two-nearest-distance-sum-step5-250-1000/arrays/two_nearest_contour_distance_sum_1000hpa.npy,21.641860961914062,99.5,51,98483,295449,96,1026720,0,0.2601987421512604,27.922321319580078,6.2831220626831055,4.913189888000488,14.599504470825195,21.641860961914062
