bucket_lower,bucket_upper,bucket_center,cell_count
-180.5,-179.5,-180.0,0
-179.5,-178.5,-179.0,0
-178.5,-177.5,-178.0,296
-177.5,-176.5,-177.0,1114
-176.5,-175.5,-176.0,2090
-175.5,-174.5,-175.0,2546
-174.5,-173.5,-174.0,2581
-173.5,-172.5,-173.0,1669
-172.5,-171.5,-172.0,1475
-171.5,-170.5,-171.0,1183
-170.5,-169.5,-170.0,1061
-169.5,-168.5,-169.0,1008
-168.5,-167.5,-168.0,974
-167.5,-166.5,-167.0,1307
-166.5,-165.5,-166.0,1504
-165.5,-164.5,-165.0,1489
-164.5,-163.5,-164.0,1551
-163.5,-162.5,-163.0,1535
-162.5,-161.5,-162.0,1523
-161.5,-160.5,-161.0,1431
-160.5,-159.5,-160.0,1321
-159.5,-158.5,-159.0,1319
-158.5,-157.5,-158.0,1150
-157.5,-156.5,-157.0,1104
-156.5,-155.5,-156.0,1281
-155.5,-154.5,-155.0,1239
-154.5,-153.5,-154.0,1143
-153.5,-152.5,-153.0,1070
-152.5,-151.5,-152.0,1117
-151.5,-150.5,-151.0,1140
-150.5,-149.5,-150.0,1277
-149.5,-148.5,-149.0,1314
-148.5,-147.5,-148.0,1401
-147.5,-146.5,-147.0,1616
-146.5,-145.5,-146.0,1300
-145.5,-144.5,-145.0,1239
-144.5,-143.5,-144.0,1124
-143.5,-142.5,-143.0,1154
-142.5,-141.5,-142.0,1008
-141.5,-140.5,-141.0,884
-140.5,-139.5,-140.0,959
-139.5,-138.5,-139.0,896
-138.5,-137.5,-138.0,952
-137.5,-136.5,-137.0,869
-136.5,-135.5,-136.0,966
-135.5,-134.5,-135.0,1071
-134.5,-133.5,-134.0,972
-133.5,-132.5,-133.0,999
-132.5,-131.5,-132.0,1015
-131.5,-130.5,-131.0,1040
-130.5,-129.5,-130.0,1019
-129.5,-128.5,-129.0,1136
-128.5,-127.5,-128.0,1269
-127.5,-126.5,-127.0,1232
-126.5,-125.5,-126.0,1142
-125.5,-124.5,-125.0,1071
-124.5,-123.5,-124.0,1016
-123.5,-122.5,-123.0,1032
-122.5,-121.5,-122.0,1085
-121.5,-120.5,-121.0,998
-120.5,-119.5,-120.0,1086
-119.5,-118.5,-119.0,1039
-118.5,-117.5,-118.0,1035
-117.5,-116.5,-117.0,1047
-116.5,-115.5,-116.0,1198
-115.5,-114.5,-115.0,1188
-114.5,-113.5,-114.0,1264
-113.5,-112.5,-113.0,1254
-112.5,-111.5,-112.0,1191
-111.5,-110.5,-111.0,1201
-110.5,-109.5,-110.0,1141
-109.5,-108.5,-109.0,1201
-108.5,-107.5,-108.0,1154
-107.5,-106.5,-107.0,1166
-106.5,-105.5,-106.0,1098
-105.5,-104.5,-105.0,1139
-104.5,-103.5,-104.0,1140
-103.5,-102.5,-103.0,1152
-102.5,-101.5,-102.0,1094
-101.5,-100.5,-101.0,1137
-100.5,-99.5,-100.0,1161
-99.5,-98.5,-99.0,1169
-98.5,-97.5,-98.0,1141
-97.5,-96.5,-97.0,1196
-96.5,-95.5,-96.0,1250
-95.5,-94.5,-95.0,1241
-94.5,-93.5,-94.0,1224
-93.5,-92.5,-93.0,1257
-92.5,-91.5,-92.0,1126
-91.5,-90.5,-91.0,1123
-90.5,-89.5,-90.0,1141
-89.5,-88.5,-89.0,1151
-88.5,-87.5,-88.0,1169
-87.5,-86.5,-87.0,1168
-86.5,-85.5,-86.0,1051
-85.5,-84.5,-85.0,1033
-84.5,-83.5,-84.0,955
-83.5,-82.5,-83.0,950
-82.5,-81.5,-82.0,1005
-81.5,-80.5,-81.0,903
-80.5,-79.5,-80.0,882
-79.5,-78.5,-79.0,959
-78.5,-77.5,-78.0,986
-77.5,-76.5,-77.0,936
-76.5,-75.5,-76.0,982
-75.5,-74.5,-75.0,1001
-74.5,-73.5,-74.0,1085
