bucket_lower,bucket_upper,bucket_center,cell_count
-180.5,-179.5,-180.0,0
-179.5,-178.5,-179.0,0
-178.5,-177.5,-178.0,0
-177.5,-176.5,-177.0,0
-176.5,-175.5,-176.0,4
-175.5,-174.5,-175.0,58
-174.5,-173.5,-174.0,56
-173.5,-172.5,-173.0,64
-172.5,-171.5,-172.0,48
-171.5,-170.5,-171.0,108
-170.5,-169.5,-170.0,147
-169.5,-168.5,-169.0,192
-168.5,-167.5,-168.0,218
-167.5,-166.5,-167.0,303
-166.5,-165.5,-166.0,378
-165.5,-164.5,-165.0,388
-164.5,-163.5,-164.0,314
-163.5,-162.5,-163.0,295
-162.5,-161.5,-162.0,391
-161.5,-160.5,-161.0,449
-160.5,-159.5,-160.0,540
-159.5,-158.5,-159.0,646
-158.5,-157.5,-158.0,685
-157.5,-156.5,-157.0,850
-156.5,-155.5,-156.0,1006
-155.5,-154.5,-155.0,1187
-154.5,-153.5,-154.0,1464
-153.5,-152.5,-153.0,1501
-152.5,-151.5,-152.0,1338
-151.5,-150.5,-151.0,1416
-150.5,-149.5,-150.0,1207
-149.5,-148.5,-149.0,1186
-148.5,-147.5,-148.0,1193
-147.5,-146.5,-147.0,1268
-146.5,-145.5,-146.0,1320
-145.5,-144.5,-145.0,1264
-144.5,-143.5,-144.0,1223
-143.5,-142.5,-143.0,1455
-142.5,-141.5,-142.0,1160
-141.5,-140.5,-141.0,962
-140.5,-139.5,-140.0,1119
-139.5,-138.5,-139.0,1069
-138.5,-137.5,-138.0,1070
-137.5,-136.5,-137.0,994
-136.5,-135.5,-136.0,932
-135.5,-134.5,-135.0,963
-134.5,-133.5,-134.0,939
-133.5,-132.5,-133.0,1105
-132.5,-131.5,-132.0,1151
-131.5,-130.5,-131.0,1236
-130.5,-129.5,-130.0,1086
-129.5,-128.5,-129.0,990
-128.5,-127.5,-128.0,900
-127.5,-126.5,-127.0,842
-126.5,-125.5,-126.0,971
-125.5,-124.5,-125.0,1151
-124.5,-123.5,-124.0,1102
-123.5,-122.5,-123.0,1120
-122.5,-121.5,-122.0,1099
-121.5,-120.5,-121.0,1048
-120.5,-119.5,-120.0,997
-119.5,-118.5,-119.0,918
-118.5,-117.5,-118.0,1088
-117.5,-116.5,-117.0,1231
-116.5,-115.5,-116.0,1199
-115.5,-114.5,-115.0,1203
-114.5,-113.5,-114.0,1138
-113.5,-112.5,-113.0,1222
-112.5,-111.5,-112.0,1160
-111.5,-110.5,-111.0,1204
-110.5,-109.5,-110.0,1199
-109.5,-108.5,-109.0,1190
-108.5,-107.5,-108.0,1080
-107.5,-106.5,-107.0,1058
-106.5,-105.5,-106.0,1084
-105.5,-104.5,-105.0,1138
-104.5,-103.5,-104.0,1085
-103.5,-102.5,-103.0,1149
-102.5,-101.5,-102.0,1120
-101.5,-100.5,-101.0,1030
-100.5,-99.5,-100.0,1148
-99.5,-98.5,-99.0,1225
-98.5,-97.5,-98.0,1164
-97.5,-96.5,-97.0,1001
-96.5,-95.5,-96.0,912
-95.5,-94.5,-95.0,868
-94.5,-93.5,-94.0,886
-93.5,-92.5,-93.0,1030
-92.5,-91.5,-92.0,1166
-91.5,-90.5,-91.0,1184
-90.5,-89.5,-90.0,1189
-89.5,-88.5,-89.0,1215
-88.5,-87.5,-88.0,1148
-87.5,-86.5,-87.0,1115
-86.5,-85.5,-86.0,1100
-85.5,-84.5,-85.0,1041
-84.5,-83.5,-84.0,1129
-83.5,-82.5,-83.0,1159
-82.5,-81.5,-82.0,1300
-81.5,-80.5,-81.0,1421
-80.5,-79.5,-80.0,1350
-79.5,-78.5,-79.0,1426
-78.5,-77.5,-78.0,1311
-77.5,-76.5,-77.0,1290
-76.5,-75.5,-76.0,1250
-75.5,-74.5,-75.0,1346
-74.5,-73.5,-74.0,1255
-73.5,-72.5,-73.0,1291
