bucket_lower,bucket_upper,bucket_center,cell_count
-180.5,-179.5,-180.0,0
-179.5,-178.5,-179.0,0
-178.5,-177.5,-178.0,0
-177.5,-176.5,-177.0,86
-176.5,-175.5,-176.0,149
-175.5,-174.5,-175.0,188
-174.5,-173.5,-174.0,222
-173.5,-172.5,-173.0,212
-172.5,-171.5,-172.0,550
-171.5,-170.5,-171.0,968
-170.5,-169.5,-170.0,1282
-169.5,-168.5,-169.0,1413
-168.5,-167.5,-168.0,1333
-167.5,-166.5,-167.0,1440
-166.5,-165.5,-166.0,1662
-165.5,-164.5,-165.0,1990
-164.5,-163.5,-164.0,1393
-163.5,-162.5,-163.0,1458
-162.5,-161.5,-162.0,1226
-161.5,-160.5,-161.0,1337
-160.5,-159.5,-160.0,1305
-159.5,-158.5,-159.0,1342
-158.5,-157.5,-158.0,1183
-157.5,-156.5,-157.0,1259
-156.5,-155.5,-156.0,1304
-155.5,-154.5,-155.0,1083
-154.5,-153.5,-154.0,1123
-153.5,-152.5,-153.0,1115
-152.5,-151.5,-152.0,1166
-151.5,-150.5,-151.0,1068
-150.5,-149.5,-150.0,1035
-149.5,-148.5,-149.0,1062
-148.5,-147.5,-148.0,991
-147.5,-146.5,-147.0,880
-146.5,-145.5,-146.0,885
-145.5,-144.5,-145.0,904
-144.5,-143.5,-144.0,917
-143.5,-142.5,-143.0,927
-142.5,-141.5,-142.0,1059
-141.5,-140.5,-141.0,1265
-140.5,-139.5,-140.0,1212
-139.5,-138.5,-139.0,1324
-138.5,-137.5,-138.0,1344
-137.5,-136.5,-137.0,1390
-136.5,-135.5,-136.0,1239
-135.5,-134.5,-135.0,1095
-134.5,-133.5,-134.0,1007
-133.5,-132.5,-133.0,1182
-132.5,-131.5,-132.0,1248
-131.5,-130.5,-131.0,1192
-130.5,-129.5,-130.0,1380
-129.5,-128.5,-129.0,1361
-128.5,-127.5,-128.0,1248
-127.5,-126.5,-127.0,1188
-126.5,-125.5,-126.0,1268
-125.5,-124.5,-125.0,1163
-124.5,-123.5,-124.0,1379
-123.5,-122.5,-123.0,1453
-122.5,-121.5,-122.0,1355
-121.5,-120.5,-121.0,1195
-120.5,-119.5,-120.0,1254
-119.5,-118.5,-119.0,1144
-118.5,-117.5,-118.0,1168
-117.5,-116.5,-117.0,1067
-116.5,-115.5,-116.0,1117
-115.5,-114.5,-115.0,1154
-114.5,-113.5,-114.0,962
-113.5,-112.5,-113.0,895
-112.5,-111.5,-112.0,917
-111.5,-110.5,-111.0,895
-110.5,-109.5,-110.0,879
-109.5,-108.5,-109.0,928
-108.5,-107.5,-108.0,1127
-107.5,-106.5,-107.0,1106
-106.5,-105.5,-106.0,1031
-105.5,-104.5,-105.0,973
-104.5,-103.5,-104.0,1049
-103.5,-102.5,-103.0,1111
-102.5,-101.5,-102.0,1163
-101.5,-100.5,-101.0,1303
-100.5,-99.5,-100.0,1264
-99.5,-98.5,-99.0,1334
-98.5,-97.5,-98.0,1550
-97.5,-96.5,-97.0,1668
-96.5,-95.5,-96.0,1975
-95.5,-94.5,-95.0,2034
-94.5,-93.5,-94.0,1487
-93.5,-92.5,-93.0,1491
-92.5,-91.5,-92.0,1352
-91.5,-90.5,-91.0,1347
-90.5,-89.5,-90.0,1514
-89.5,-88.5,-89.0,1430
-88.5,-87.5,-88.0,1304
-87.5,-86.5,-87.0,1322
-86.5,-85.5,-86.0,1440
-85.5,-84.5,-85.0,1421
-84.5,-83.5,-84.0,1376
-83.5,-82.5,-83.0,1327
-82.5,-81.5,-82.0,1326
-81.5,-80.5,-81.0,1435
-80.5,-79.5,-80.0,1506
-79.5,-78.5,-79.0,1564
-78.5,-77.5,-78.0,1436
-77.5,-76.5,-77.0,1468
-76.5,-75.5,-76.0,1572
-75.5,-74.5,-75.0,1631
-74.5,-73.5,-74.0,1596
