bucket_lower,bucket_upper,bucket_center,cell_count
-1.5,-0.5,-1.0,21656
-0.5,0.5,0.0,26142
0.5,1.5,1.0,29820
1.5,2.5,2.0,27826
2.5,3.5,3.0,25872
3.5,4.5,4.0,24925
4.5,5.5,5.0,23541
5.5,6.5,6.0,20691
6.5,7.5,7.0,19523
7.5,8.5,8.0,18445
8.5,9.5,9.0,18101
9.5,10.5,10.0,17487
10.5,11.5,11.0,17457
11.5,12.5,12.0,16992
12.5,13.5,13.0,15476
13.5,14.5,14.0,15932
14.5,15.5,15.0,14515
15.5,16.5,16.0,12276
16.5,17.5,17.0,10550
17.5,18.5,18.0,8362
18.5,19.5,19.0,6360
19.5,20.5,20.0,5659
20.5,21.5,21.0,5099
21.5,22.5,22.0,4640
22.5,23.5,23.0,4484
23.5,24.5,24.0,4603
24.5,25.5,25.0,3415
25.5,26.5,26.0,3073
26.5,27.5,27.0,2682
27.5,28.5,28.0,2932
28.5,29.5,29.0,2870
29.5,30.5,30.0,2846
30.5,31.5,31.0,2808
31.5,32.5,32.0,2734
32.5,33.5,33.0,2329
33.5,34.5,34.0,2184
34.5,35.5,35.0,2501
35.5,36.5,36.0,2201
36.5,37.5,37.0,2170
37.5,38.5,38.0,2031
38.5,39.5,39.0,2081
39.5,40.5,40.0,2063
40.5,41.5,41.0,1941
41.5,42.5,42.0,1989
42.5,43.5,43.0,1761
43.5,44.5,44.0,1542
44.5,45.5,45.0,1444
45.5,46.5,46.0,1535
46.5,47.5,47.0,1481
47.5,48.5,48.0,1461
48.5,49.5,49.0,1437
49.5,50.5,50.0,1518
50.5,51.5,51.0,1580
51.5,52.5,52.0,1626
52.5,53.5,53.0,1606
53.5,54.5,54.0,1559
54.5,55.5,55.0,1566
55.5,56.5,56.0,1581
56.5,57.5,57.0,1534
57.5,58.5,58.0,1416
58.5,59.5,59.0,1350
59.5,60.5,60.0,1347
60.5,61.5,61.0,1406
61.5,62.5,62.0,1521
62.5,63.5,63.0,1499
63.5,64.5,64.0,1424
64.5,65.5,65.0,1503
65.5,66.5,66.0,1462
66.5,67.5,67.0,1257
67.5,68.5,68.0,1262
68.5,69.5,69.0,1437
69.5,70.5,70.0,1339
70.5,71.5,71.0,1182
71.5,72.5,72.0,1054
72.5,73.5,73.0,1040
73.5,74.5,74.0,991
74.5,75.5,75.0,1117
75.5,76.5,76.0,1136
76.5,77.5,77.0,932
77.5,78.5,78.0,988
78.5,79.5,79.0,867
79.5,80.5,80.0,935
80.5,81.5,81.0,896
81.5,82.5,82.0,825
82.5,83.5,83.0,925
83.5,84.5,84.0,1126
84.5,85.5,85.0,1329
85.5,86.5,86.0,1327
86.5,87.5,87.0,1287
87.5,88.5,88.0,1317
88.5,89.5,89.0,1345
89.5,90.5,90.0,1413
90.5,91.5,91.0,1430
91.5,92.5,92.0,1473
92.5,93.5,93.0,1452
93.5,94.5,94.0,1444
94.5,95.5,95.0,1617
95.5,96.5,96.0,1804
96.5,97.5,97.0,1760
97.5,98.5,98.0,1602
98.5,99.5,99.0,1392
99.5,100.5,100.0,1361
100.5,101.5,101.0,1268
101.5,102.5,102.0,1190
102.5,103.5,103.0,1138
103.5,104.5,104.0,1068
104.5,105.5,105.0,1139
105.5,106.5,106.0,1278
106.5,107.5,107.0,1403
107.5,108.5,108.0,1424
108.5,109.5,109.0,1553
109.5,110.5,110.0,1513
110.5,111.5,111.0,1606
111.5,112.5,112.0,1704
112.5,113.5,113.0,1814
113.5,114.5,114.0,1698
114.5,115.5,115.0,1740
115.5,116.5,116.0,2001
116.5,117.5,117.0,2042
117.5,118.5,118.0,1721
118.5,119.5,119.0,1737
119.5,120.5,120.0,1799
120.5,121.5,121.0,1904
121.5,122.5,122.0,1975
122.5,123.5,123.0,1490
123.5,124.5,124.0,1312
124.5,125.5,125.0,1294
125.5,126.5,126.0,1242
126.5,127.5,127.0,1158
127.5,128.5,128.0,1486
128.5,129.5,129.0,1373
129.5,130.5,130.0,1424
130.5,131.5,131.0,1579
131.5,132.5,132.0,1547
132.5,133.5,133.0,1930
133.5,134.5,134.0,1677
134.5,135.5,135.0,1424
135.5,136.5,136.0,1509
136.5,137.5,137.0,1721
137.5,138.5,138.0,1483
138.5,139.5,139.0,1248
139.5,140.5,140.0,1306
140.5,141.5,141.0,1517
141.5,142.5,142.0,1603
142.5,143.5,143.0,1638
143.5,144.5,144.0,1555
144.5,145.5,145.0,2091
145.5,146.5,146.0,2704
146.5,147.5,147.0,2711
147.5,148.5,148.0,2492
148.5,149.5,149.0,2514
149.5,150.5,150.0,2688
150.5,151.5,151.0,2769
151.5,152.5,152.0,3322
152.5,153.5,153.0,4528
153.5,154.5,154.0,5133
154.5,155.5,155.0,3923
155.5,156.5,156.0,2484
156.5,157.5,157.0,2295
157.5,158.5,158.0,1731
158.5,159.5,159.0,1526
159.5,160.5,160.0,1486
160.5,161.5,161.0,1485
161.5,162.5,162.0,1511
162.5,163.5,163.0,1728
163.5,164.5,164.0,1520
164.5,165.5,165.0,1468
165.5,166.5,166.0,1419
166.5,167.5,167.0,1188
167.5,168.5,168.0,932
168.5,169.5,169.0,640
169.5,170.5,170.0,637
170.5,171.5,171.0,443
171.5,172.5,172.0,45
172.5,173.5,173.0,0
173.5,174.5,174.0,0
174.5,175.5,175.0,0
175.5,176.5,176.0,0
176.5,177.5,177.0,0
177.5,178.5,178.0,0
178.5,179.5,179.0,0
179.5,180.5,180.0,0
