bucket_label,lower_bound,lower_inclusive,upper_bound,upper_inclusive,cell_count
0-1,0,true,1,true,57002
1-2,1,false,2,true,22549
2-3,2,false,3,true,7234
3-4,3,false,4,true,4340
4-5,4,false,5,true,4297
5-6,5,false,6,true,10102
6-7,6,false,7,true,5228
7-8,7,false,8,true,10385
8-9,8,false,9,true,15796
9-10,9,false,10,true,8686
10-11,10,false,11,true,8134
11-12,11,false,12,true,11043
12-13,12,false,13,true,9017
13-14,13,false,14,true,6870
14-15,14,false,15,true,6553
15-16,15,false,16,true,5999
16-17,16,false,17,true,7522
17-18,17,false,18,true,8157
18-19,18,false,19,true,9659
19-20,19,false,20,true,11349
20-21,20,false,21,true,10437
21-22,21,false,22,true,8965
22-23,22,false,23,true,10130
23-24,23,false,24,true,12792
24-25,24,false,25,true,10412
25-26,25,false,26,true,9208
26-27,26,false,27,true,9550
27-28,27,false,28,true,9079
28-29,28,false,29,true,8879
29-30,29,false,30,true,8591
30-31,30,false,31,true,8507
31-32,31,false,32,true,6917
32-33,32,false,33,true,6076
33-34,33,false,34,true,6298
34-35,34,false,35,true,6759
35-36,35,false,36,true,6686
36-37,36,false,37,true,6294
37-38,37,false,38,true,5863
38-39,38,false,39,true,6349
39-40,39,false,40,true,7169
40-41,40,false,41,true,6868
41-42,41,false,42,true,6904
42-43,42,false,43,true,7153
43-44,43,false,44,true,8278
44-45,44,false,45,true,9813
45-46,45,false,46,true,9426
46-47,46,false,47,true,11175
47-48,47,false,48,true,11183
48-49,48,false,49,true,10442
49-50,49,false,50,true,9259
50-51,50,false,51,true,10067
51-52,51,false,52,true,12514
52-53,52,false,53,true,13941
53-54,53,false,54,true,12465
54-55,54,false,55,true,10913
55-56,55,false,56,true,10998
56-57,56,false,57,true,11355
57-58,57,false,58,true,11619
58-59,58,false,59,true,11385
59-60,59,false,60,true,10521
60-61,60,false,61,true,10476
61-62,61,false,62,true,10537
62-63,62,false,63,true,10606
63-64,63,false,64,true,11399
64-65,64,false,65,true,11572
65-66,65,false,66,true,12150
66-67,66,false,67,true,13107
67-68,67,false,68,true,12073
68-69,68,false,69,true,10943
69-70,69,false,70,true,9807
70-71,70,false,71,true,9905
71-72,71,false,72,true,10039
72-73,72,false,73,true,9065
73-74,73,false,74,true,9051
74-75,74,false,75,true,9661
75-76,75,false,76,true,10291
76-77,76,false,77,true,10373
77-78,77,false,78,true,10204
78-79,78,false,79,true,9727
79-80,79,false,80,true,10030
80-81,80,false,81,true,9875
81-82,81,false,82,true,10553
82-83,82,false,83,true,10748
83-84,83,false,84,true,12225
84-85,84,false,85,true,11464
85-86,85,false,86,true,12784
86-87,86,false,87,true,12793
87-88,87,false,88,true,14198
88-89,88,false,89,true,11992
89-90,89,false,90,true,14822
90-91,90,false,91,true,10498
91-92,91,false,92,true,10540
92-93,92,false,93,true,9402
93-94,93,false,94,true,8145
94-95,94,false,95,true,6899
95-96,95,false,96,true,6103
96-97,96,false,97,true,6411
97-98,97,false,98,true,6438
98-99,98,false,99,true,11130
99-100,99,false,100,true,17522
