bucket_label,lower_bound,lower_inclusive,upper_bound,upper_inclusive,cell_count
0-1,0,true,1,true,16365
1-2,1,false,2,true,6426
2-3,2,false,3,true,6456
3-4,3,false,4,true,6244
4-5,4,false,5,true,6064
5-6,5,false,6,true,5953
6-7,6,false,7,true,9212
7-8,7,false,8,true,10444
8-9,8,false,9,true,9848
9-10,9,false,10,true,8535
10-11,10,false,11,true,8095
11-12,11,false,12,true,8074
12-13,12,false,13,true,8311
13-14,13,false,14,true,9770
14-15,14,false,15,true,9915
15-16,15,false,16,true,9069
16-17,16,false,17,true,8452
17-18,17,false,18,true,8901
18-19,18,false,19,true,9143
19-20,19,false,20,true,9262
20-21,20,false,21,true,9202
21-22,21,false,22,true,8775
22-23,22,false,23,true,9746
23-24,23,false,24,true,11463
24-25,24,false,25,true,10740
25-26,25,false,26,true,10232
26-27,26,false,27,true,10590
27-28,27,false,28,true,10314
28-29,28,false,29,true,12021
29-30,29,false,30,true,11464
30-31,30,false,31,true,10243
31-32,31,false,32,true,10467
32-33,32,false,33,true,10468
33-34,33,false,34,true,11663
34-35,34,false,35,true,12576
35-36,35,false,36,true,11166
36-37,36,false,37,true,10689
37-38,37,false,38,true,10078
38-39,38,false,39,true,10546
39-40,39,false,40,true,10541
40-41,40,false,41,true,12096
41-42,41,false,42,true,13607
42-43,42,false,43,true,14844
43-44,43,false,44,true,12775
44-45,44,false,45,true,14209
45-46,45,false,46,true,14126
46-47,46,false,47,true,13087
47-48,47,false,48,true,11040
48-49,48,false,49,true,11661
49-50,49,false,50,true,10747
50-51,50,false,51,true,9802
51-52,51,false,52,true,9226
52-53,52,false,53,true,8822
53-54,53,false,54,true,9488
54-55,54,false,55,true,9970
55-56,55,false,56,true,9140
56-57,56,false,57,true,9019
57-58,57,false,58,true,8702
58-59,58,false,59,true,8626
59-60,59,false,60,true,8481
60-61,60,false,61,true,8518
61-62,61,false,62,true,9111
62-63,62,false,63,true,10022
63-64,63,false,64,true,9349
64-65,64,false,65,true,10218
65-66,65,false,66,true,11674
66-67,66,false,67,true,10757
67-68,67,false,68,true,11511
68-69,68,false,69,true,11339
69-70,69,false,70,true,10986
70-71,70,false,71,true,10775
71-72,71,false,72,true,11453
72-73,72,false,73,true,12214
73-74,73,false,74,true,11844
74-75,74,false,75,true,11195
75-76,75,false,76,true,11412
76-77,76,false,77,true,11929
77-78,77,false,78,true,12034
78-79,78,false,79,true,11414
79-80,79,false,80,true,11353
80-81,80,false,81,true,12685
81-82,81,false,82,true,11910
82-83,82,false,83,true,11640
83-84,83,false,84,true,12363
84-85,84,false,85,true,13596
85-86,85,false,86,true,13041
86-87,86,false,87,true,13230
87-88,87,false,88,true,12539
88-89,88,false,89,true,11227
89-90,89,false,90,true,10300
90-91,90,false,91,true,9978
91-92,91,false,92,true,9212
92-93,92,false,93,true,8122
93-94,93,false,94,true,8319
94-95,94,false,95,true,6870
95-96,95,false,96,true,5507
96-97,96,false,97,true,6478
97-98,97,false,98,true,6491
98-99,98,false,99,true,6316
99-100,99,false,100,true,10797
