pressure_level_hpa,agreement_cell_count,total_cell_count,agreement_fraction,latitude_difference_mean,latitude_difference_median,latitude_difference_abs_mean,latitude_difference_abs_median,latitude_difference_min,latitude_difference_max,score_min,score_max
1000.0,775627,1026720,0.755441600436341,1.1847456693649292,0.5694694519042969,3.6493208408355713,2.5151853561401367,-16.460824966430664,26.17351531982422,0.4048580229282379,96.84424591064453
850.0,660627,1026720,0.6434344319775596,0.5154006481170654,0.07463836669921875,4.443178176879883,3.5690994262695312,-17.944597244262695,24.46186065673828,0.01753634214401245,95.94961547851562
500.0,651059,1026720,0.634115435561789,0.3233805298805237,0.19709205627441406,4.689336776733398,3.716890335083008,-20.657623291015625,21.917259216308594,0.020380694419145584,97.30998229980469
250.0,488991,1026720,0.4762651940158953,2.5766713619232178,1.6832082271575928,7.199893474578857,5.300084114074707,-29.36069679260254,43.59148406982422,1.1118791007902473e-05,98.89212036132812
