bucket_lower,bucket_upper,bucket_center,cell_count
-30.5,-29.5,-30.0,0
-29.5,-28.5,-29.0,0
-28.5,-27.5,-28.0,0
-27.5,-26.5,-27.0,0
-26.5,-25.5,-26.0,0
-25.5,-24.5,-25.0,0
-24.5,-23.5,-24.0,0
-23.5,-22.5,-23.0,0
-22.5,-21.5,-22.0,0
-21.5,-20.5,-21.0,0
-20.5,-19.5,-20.0,0
-19.5,-18.5,-19.0,0
-18.5,-17.5,-18.0,197
-17.5,-16.5,-17.0,544
-16.5,-15.5,-16.0,1386
-15.5,-14.5,-15.0,4091
-14.5,-13.5,-14.0,3931
-13.5,-12.5,-13.0,5177
-12.5,-11.5,-12.0,6650
-11.5,-10.5,-11.0,8461
-10.5,-9.5,-10.0,9830
-9.5,-8.5,-9.0,10615
-8.5,-7.5,-8.0,12597
-7.5,-6.5,-7.0,17149
-6.5,-5.5,-6.0,21946
-5.5,-4.5,-5.0,29903
-4.5,-3.5,-4.0,40032
-3.5,-2.5,-3.0,53496
-2.5,-1.5,-2.0,73206
-1.5,-0.5,-1.0,90692
-0.5,0.5,0.0,103086
0.5,1.5,1.0,103446
1.5,2.5,2.0,95179
2.5,3.5,3.0,79121
3.5,4.5,4.0,55409
4.5,5.5,5.0,44877
5.5,6.5,6.0,32408
6.5,7.5,7.0,22982
7.5,8.5,8.0,17554
8.5,9.5,9.0,17513
9.5,10.5,10.0,12416
10.5,11.5,11.0,10148
11.5,12.5,12.0,9333
12.5,13.5,13.0,6237
13.5,14.5,14.0,4391
14.5,15.5,15.0,3598
15.5,16.5,16.0,3000
16.5,17.5,17.0,2602
17.5,18.5,18.0,2340
18.5,19.5,19.0,2072
19.5,20.5,20.0,1867
20.5,21.5,21.0,1681
21.5,22.5,22.0,1430
22.5,23.5,23.0,1107
23.5,24.5,24.0,867
24.5,25.5,25.0,710
25.5,26.5,26.0,573
26.5,27.5,27.0,444
27.5,28.5,28.0,307
28.5,29.5,29.0,119
29.5,30.5,30.0,0
