bucket_lower,bucket_upper,bucket_center,cell_count
-25.5,-24.5,-25.0,34
-24.5,-23.5,-24.0,283
-23.5,-22.5,-23.0,567
-22.5,-21.5,-22.0,1052
-21.5,-20.5,-21.0,1582
-20.5,-19.5,-20.0,1736
-19.5,-18.5,-19.0,2222
-18.5,-17.5,-18.0,5006
-17.5,-16.5,-17.0,4660
-16.5,-15.5,-16.0,4893
-15.5,-14.5,-15.0,5354
-14.5,-13.5,-14.0,7904
-13.5,-12.5,-13.0,10977
-12.5,-11.5,-12.0,12240
-11.5,-10.5,-11.0,15426
-10.5,-9.5,-10.0,19270
-9.5,-8.5,-9.0,23023
-8.5,-7.5,-8.0,24654
-7.5,-6.5,-7.0,30543
-6.5,-5.5,-6.0,34853
-5.5,-4.5,-5.0,40384
-4.5,-3.5,-4.0,54849
-3.5,-2.5,-3.0,59743
-2.5,-1.5,-2.0,64385
-1.5,-0.5,-1.0,64942
-0.5,0.5,0.0,64472
0.5,1.5,1.0,61969
1.5,2.5,2.0,60544
2.5,3.5,3.0,58022
3.5,4.5,4.0,59024
4.5,5.5,5.0,52472
5.5,6.5,6.0,44730
6.5,7.5,7.0,31840
7.5,8.5,8.0,21446
8.5,9.5,9.0,15591
9.5,10.5,10.0,11986
10.5,11.5,11.0,9939
11.5,12.5,12.0,9688
12.5,13.5,13.0,8861
13.5,14.5,14.0,6604
14.5,15.5,15.0,4836
15.5,16.5,16.0,3938
16.5,17.5,17.0,4521
17.5,18.5,18.0,1484
18.5,19.5,19.0,1066
19.5,20.5,20.0,767
20.5,21.5,21.0,719
21.5,22.5,22.0,697
22.5,23.5,23.0,666
23.5,24.5,24.0,256
24.5,25.5,25.0,0
