bucket_lower,bucket_upper,bucket_center,cell_count
-70.5,-69.5,-70.0,0
-69.5,-68.5,-69.0,0
-68.5,-67.5,-68.0,0
-67.5,-66.5,-67.0,0
-66.5,-65.5,-66.0,0
-65.5,-64.5,-65.0,0
-64.5,-63.5,-64.0,0
-63.5,-62.5,-63.0,0
-62.5,-61.5,-62.0,0
-61.5,-60.5,-61.0,0
-60.5,-59.5,-60.0,0
-59.5,-58.5,-59.0,0
-58.5,-57.5,-58.0,0
-57.5,-56.5,-57.0,0
-56.5,-55.5,-56.0,0
-55.5,-54.5,-55.0,0
-54.5,-53.5,-54.0,0
-53.5,-52.5,-53.0,1
-52.5,-51.5,-52.0,3
-51.5,-50.5,-51.0,17
-50.5,-49.5,-50.0,133
-49.5,-48.5,-49.0,257
-48.5,-47.5,-48.0,262
-47.5,-46.5,-47.0,411
-46.5,-45.5,-46.0,415
-45.5,-44.5,-45.0,300
-44.5,-43.5,-44.0,422
-43.5,-42.5,-43.0,263
-42.5,-41.5,-42.0,372
-41.5,-40.5,-41.0,365
-40.5,-39.5,-40.0,504
-39.5,-38.5,-39.0,417
-38.5,-37.5,-38.0,659
-37.5,-36.5,-37.0,727
-36.5,-35.5,-36.0,620
-35.5,-34.5,-35.0,970
-34.5,-33.5,-34.0,970
-33.5,-32.5,-33.0,1672
-32.5,-31.5,-32.0,1247
-31.5,-30.5,-31.0,2184
-30.5,-29.5,-30.0,1954
-29.5,-28.5,-29.0,2963
-28.5,-27.5,-28.0,3974
-27.5,-26.5,-27.0,4204
-26.5,-25.5,-26.0,5904
-25.5,-24.5,-25.0,4518
-24.5,-23.5,-24.0,6106
-23.5,-22.5,-23.0,4797
-22.5,-21.5,-22.0,7423
-21.5,-20.5,-21.0,8760
-20.5,-19.5,-20.0,8291
-19.5,-18.5,-19.0,13372
-18.5,-17.5,-18.0,11905
-17.5,-16.5,-17.0,18739
-16.5,-15.5,-16.0,15209
-15.5,-14.5,-15.0,20039
-14.5,-13.5,-14.0,15279
-13.5,-12.5,-13.0,21923
-12.5,-11.5,-12.0,23189
-11.5,-10.5,-11.0,17823
-10.5,-9.5,-10.0,26265
-9.5,-8.5,-9.0,21079
-8.5,-7.5,-8.0,31193
-7.5,-6.5,-7.0,23900
-6.5,-5.5,-6.0,36059
-5.5,-4.5,-5.0,29001
-4.5,-3.5,-4.0,40812
-3.5,-2.5,-3.0,42945
-2.5,-1.5,-2.0,33713
-1.5,-0.5,-1.0,47263
-0.5,0.5,0.0,35654
0.5,1.5,1.0,42303
1.5,2.5,2.0,28905
2.5,3.5,3.0,35370
3.5,4.5,4.0,31333
4.5,5.5,5.0,21098
5.5,6.5,6.0,26025
6.5,7.5,7.0,17239
7.5,8.5,8.0,21217
8.5,9.5,9.0,14361
9.5,10.5,10.0,17010
10.5,11.5,11.0,10911
11.5,12.5,12.0,13623
12.5,13.5,13.0,12920
13.5,14.5,14.0,8167
14.5,15.5,15.0,9128
15.5,16.5,16.0,6270
16.5,17.5,17.0,7575
17.5,18.5,18.0,4765
18.5,19.5,19.0,6043
19.5,20.5,20.0,4060
20.5,21.5,21.0,5165
21.5,22.5,22.0,5035
22.5,23.5,23.0,3345
23.5,24.5,24.0,4298
24.5,25.5,25.0,3145
25.5,26.5,26.0,4385
26.5,27.5,27.0,3664
27.5,28.5,28.0,4293
28.5,29.5,29.0,4553
29.5,30.5,30.0,3070
30.5,31.5,31.0,3731
31.5,32.5,32.0,2912
32.5,33.5,33.0,3482
33.5,34.5,34.0,3217
34.5,35.5,35.0,3820
35.5,36.5,36.0,2918
36.5,37.5,37.0,3285
37.5,38.5,38.0,2733
38.5,39.5,39.0,1767
39.5,40.5,40.0,2213
40.5,41.5,41.0,1465
41.5,42.5,42.0,1981
42.5,43.5,43.0,1464
43.5,44.5,44.0,2098
44.5,45.5,45.0,1618
45.5,46.5,46.0,1955
46.5,47.5,47.0,1696
47.5,48.5,48.0,678
48.5,49.5,49.0,908
49.5,50.5,50.0,427
50.5,51.5,51.0,791
51.5,52.5,52.0,552
52.5,53.5,53.0,753
53.5,54.5,54.0,510
54.5,55.5,55.0,238
55.5,56.5,56.0,364
56.5,57.5,57.0,265
57.5,58.5,58.0,370
58.5,59.5,59.0,299
59.5,60.5,60.0,371
60.5,61.5,61.0,260
61.5,62.5,62.0,296
62.5,63.5,63.0,245
63.5,64.5,64.0,121
64.5,65.5,65.0,117
65.5,66.5,66.0,32
66.5,67.5,67.0,34
67.5,68.5,68.0,7
68.5,69.5,69.0,4
69.5,70.5,70.0,0
