bucket_lower,bucket_upper,bucket_center,cell_count
-44.5,-43.5,-44.0,0
-43.5,-42.5,-43.0,0
-42.5,-41.5,-42.0,0
-41.5,-40.5,-41.0,0
-40.5,-39.5,-40.0,0
-39.5,-38.5,-39.0,0
-38.5,-37.5,-38.0,3
-37.5,-36.5,-37.0,10
-36.5,-35.5,-36.0,12
-35.5,-34.5,-35.0,34
-34.5,-33.5,-34.0,62
-33.5,-32.5,-33.0,123
-32.5,-31.5,-32.0,117
-31.5,-30.5,-31.0,264
-30.5,-29.5,-30.0,294
-29.5,-28.5,-29.0,635
-28.5,-27.5,-28.0,729
-27.5,-26.5,-27.0,636
-26.5,-25.5,-26.0,1150
-25.5,-24.5,-25.0,961
-24.5,-23.5,-24.0,1652
-23.5,-22.5,-23.0,1383
-22.5,-21.5,-22.0,2134
-21.5,-20.5,-21.0,3203
-20.5,-19.5,-20.0,3441
-19.5,-18.5,-19.0,5513
-18.5,-17.5,-18.0,4522
-17.5,-16.5,-17.0,6795
-16.5,-15.5,-16.0,6343
-15.5,-14.5,-15.0,11757
-14.5,-13.5,-14.0,10672
-13.5,-12.5,-13.0,15997
-12.5,-11.5,-12.0,19095
-11.5,-10.5,-11.0,17180
-10.5,-9.5,-10.0,27347
-9.5,-8.5,-9.0,21668
-8.5,-7.5,-8.0,31222
-7.5,-6.5,-7.0,24787
-6.5,-5.5,-6.0,35256
-5.5,-4.5,-5.0,30418
-4.5,-3.5,-4.0,44969
-3.5,-2.5,-3.0,52558
-2.5,-1.5,-2.0,44678
-1.5,-0.5,-1.0,60894
-0.5,0.5,0.0,48496
0.5,1.5,1.0,54870
1.5,2.5,2.0,37951
2.5,3.5,3.0,47287
3.5,4.5,4.0,43956
4.5,5.5,5.0,30772
5.5,6.5,6.0,37304
6.5,7.5,7.0,27578
7.5,8.5,8.0,33332
8.5,9.5,9.0,22052
9.5,10.5,10.0,24735
10.5,11.5,11.0,15905
11.5,12.5,12.0,19105
12.5,13.5,13.0,16101
13.5,14.5,14.0,11095
14.5,15.5,15.0,12477
15.5,16.5,16.0,8057
16.5,17.5,17.0,8702
17.5,18.5,18.0,5191
18.5,19.5,19.0,5327
19.5,20.5,20.0,3722
20.5,21.5,21.0,4830
21.5,22.5,22.0,4152
22.5,23.5,23.0,2740
23.5,24.5,24.0,2962
24.5,25.5,25.0,1783
25.5,26.5,26.0,2181
26.5,27.5,27.0,1482
27.5,28.5,28.0,1424
28.5,29.5,29.0,950
29.5,30.5,30.0,500
30.5,31.5,31.0,418
31.5,32.5,32.0,138
32.5,33.5,33.0,174
33.5,34.5,34.0,123
34.5,35.5,35.0,96
35.5,36.5,36.0,43
36.5,37.5,37.0,67
37.5,38.5,38.0,55
38.5,39.5,39.0,25
39.5,40.5,40.0,25
40.5,41.5,41.0,10
41.5,42.5,42.0,8
42.5,43.5,43.0,3
43.5,44.5,44.0,2
