bucket_lower,bucket_upper,bucket_center,cell_count
-46.5,-45.5,-46.0,0
-45.5,-44.5,-45.0,0
-44.5,-43.5,-44.0,0
-43.5,-42.5,-43.0,0
-42.5,-41.5,-42.0,0
-41.5,-40.5,-41.0,0
-40.5,-39.5,-40.0,7
-39.5,-38.5,-39.0,6
-38.5,-37.5,-38.0,20
-37.5,-36.5,-37.0,48
-36.5,-35.5,-36.0,99
-35.5,-34.5,-35.0,174
-34.5,-33.5,-34.0,159
-33.5,-32.5,-33.0,307
-32.5,-31.5,-32.0,325
-31.5,-30.5,-31.0,464
-30.5,-29.5,-30.0,474
-29.5,-28.5,-29.0,759
-28.5,-27.5,-28.0,880
-27.5,-26.5,-27.0,811
-26.5,-25.5,-26.0,1396
-25.5,-24.5,-25.0,1285
-24.5,-23.5,-24.0,1917
-23.5,-22.5,-23.0,1538
-22.5,-21.5,-22.0,2331
-21.5,-20.5,-21.0,2222
-20.5,-19.5,-20.0,1847
-19.5,-18.5,-19.0,2890
-18.5,-17.5,-18.0,2460
-17.5,-16.5,-17.0,3762
-16.5,-15.5,-16.0,3309
-15.5,-14.5,-15.0,5432
-14.5,-13.5,-14.0,5092
-13.5,-12.5,-13.0,8670
-12.5,-11.5,-12.0,10050
-11.5,-10.5,-11.0,8622
-10.5,-9.5,-10.0,13857
-9.5,-8.5,-9.0,13031
-8.5,-7.5,-8.0,19987
-7.5,-6.5,-7.0,17478
-6.5,-5.5,-6.0,27871
-5.5,-4.5,-5.0,25800
-4.5,-3.5,-4.0,43607
-3.5,-2.5,-3.0,56302
-2.5,-1.5,-2.0,55660
-1.5,-0.5,-1.0,87567
-0.5,0.5,0.0,68804
0.5,1.5,1.0,82241
1.5,2.5,2.0,58199
2.5,3.5,3.0,66497
3.5,4.5,4.0,55755
4.5,5.5,5.0,35921
5.5,6.5,6.0,40963
6.5,7.5,7.0,26380
7.5,8.5,8.0,29264
8.5,9.5,9.0,17370
9.5,10.5,10.0,18829
10.5,11.5,11.0,11231
11.5,12.5,12.0,14017
12.5,13.5,13.0,12104
13.5,14.5,14.0,7993
14.5,15.5,15.0,9157
15.5,16.5,16.0,6125
16.5,17.5,17.0,7463
17.5,18.5,18.0,4381
18.5,19.5,19.0,4557
19.5,20.5,20.0,2803
20.5,21.5,21.0,3047
21.5,22.5,22.0,2713
22.5,23.5,23.0,1907
23.5,24.5,24.0,2327
24.5,25.5,25.0,1443
25.5,26.5,26.0,1746
26.5,27.5,27.0,1065
27.5,28.5,28.0,1002
28.5,29.5,29.0,726
29.5,30.5,30.0,441
30.5,31.5,31.0,550
31.5,32.5,32.0,278
32.5,33.5,33.0,207
33.5,34.5,34.0,106
34.5,35.5,35.0,137
35.5,36.5,36.0,105
36.5,37.5,37.0,117
37.5,38.5,38.0,95
38.5,39.5,39.0,42
39.5,40.5,40.0,36
40.5,41.5,41.0,25
41.5,42.5,42.0,19
42.5,43.5,43.0,7
43.5,44.5,44.0,6
44.5,45.5,45.0,2
45.5,46.5,46.0,1
