pressure_level_hpa,agreement_cell_count,total_cell_count,agreement_fraction,latitude_difference_mean,latitude_difference_median,latitude_difference_abs_mean,latitude_difference_abs_median,latitude_difference_min,latitude_difference_max,score_min,score_max
1000.0,654814,1026720,0.6377727131058127,1.064475178718567,0.5,5.117176055908203,3.5,-35.75,40.75,0.0,100.0
850.0,516014,1026720,0.5025849306529531,0.47323077917099,0.0,6.341691017150879,5.0,-33.75,38.75,0.0,100.0
500.0,530141,1026720,0.5163442808165809,0.24651779234409332,0.0,6.204554080963135,5.0,-40.0,41.75,0.0,100.0
250.0,404245,1026720,0.3937246766401745,2.563654899597168,1.75,9.775089263916016,7.0,-54.5,61.75,0.0,100.0
