field,pressure_hpa,selected_white_center,selected_bucket_count,score_min,score_max,score_mean,raw_field_min_k,raw_field_max_k,raw_field_mean_k
theta_e,250.0,47.0,6230,0.0,100.0,49.41935348510742,298.40277099609375,351.3389587402344,329.03338623046875
theta_e,500.0,37.0,5503,0.0,100.0,49.43137741088867,278.5268249511719,351.0205993652344,310.5107116699219
theta_e,850.0,22.0,7437,0.0,100.0,50.201255798339844,255.3965301513672,373.19964599609375,300.3530578613281
theta_e,1000.0,52.0,7995,0.0,100.0,50.6959228515625,248.80006408691406,372.02618408203125,301.05645751953125
theta_w,250.0,39.0,6457,0.0,100.0,49.85833740234375,280.54498291015625,296.86346435546875,291.0321350097656
theta_w,500.0,37.0,5365,0.0,100.0,49.81442642211914,270.14093017578125,296.79498291015625,284.4903869628906
theta_w,850.0,22.0,7893,0.0,100.0,50.640010833740234,253.23095703125,301.0474853515625,279.11175537109375
theta_w,1000.0,52.0,7844,0.0,100.0,50.98358154296875,247.49185180664062,300.845947265625,278.4228210449219
