bucket_lower,bucket_upper,bucket_center,cell_count
-0.5,0.5,0.0,22882
0.5,1.5,1.0,29304
1.5,2.5,2.0,24140
2.5,3.5,3.0,18311
3.5,4.5,4.0,14158
4.5,5.5,5.0,10178
5.5,6.5,6.0,8871
6.5,7.5,7.0,10670
7.5,8.5,8.0,11087
8.5,9.5,9.0,9029
9.5,10.5,10.0,8137
10.5,11.5,11.0,7702
11.5,12.5,12.0,7409
12.5,13.5,13.0,7074
13.5,14.5,14.0,7008
14.5,15.5,15.0,7700
15.5,16.5,16.0,7468
16.5,17.5,17.0,7422
17.5,18.5,18.0,9050
18.5,19.5,19.0,8663
19.5,20.5,20.0,7926
20.5,21.5,21.0,7807
21.5,22.5,22.0,7666
22.5,23.5,23.0,7796
23.5,24.5,24.0,7629
24.5,25.5,25.0,7620
25.5,26.5,26.0,7878
26.5,27.5,27.0,7920
27.5,28.5,28.0,8119
28.5,29.5,29.0,8396
29.5,30.5,30.0,8404
30.5,31.5,31.0,8280
31.5,32.5,32.0,8319
32.5,33.5,33.0,8741
33.5,34.5,34.0,8996
34.5,35.5,35.0,9261
35.5,36.5,36.0,9889
36.5,37.5,37.0,9905
37.5,38.5,38.0,10070
38.5,39.5,39.0,9730
39.5,40.5,40.0,10092
40.5,41.5,41.0,10836
41.5,42.5,42.0,11130
42.5,43.5,43.0,10917
43.5,44.5,44.0,11056
44.5,45.5,45.0,10906
45.5,46.5,46.0,10936
46.5,47.5,47.0,10885
47.5,48.5,48.0,11153
48.5,49.5,49.0,10309
49.5,50.5,50.0,9753
50.5,51.5,51.0,9207
51.5,52.5,52.0,8956
52.5,53.5,53.0,8887
53.5,54.5,54.0,8875
54.5,55.5,55.0,9099
55.5,56.5,56.0,9473
56.5,57.5,57.0,9489
57.5,58.5,58.0,8907
58.5,59.5,59.0,8980
59.5,60.5,60.0,8472
60.5,61.5,61.0,8067
61.5,62.5,62.0,8473
62.5,63.5,63.0,9122
63.5,64.5,64.0,9451
64.5,65.5,65.0,9719
65.5,66.5,66.0,10030
66.5,67.5,67.0,9886
67.5,68.5,68.0,9851
68.5,69.5,69.0,9634
69.5,70.5,70.0,9454
70.5,71.5,71.0,9280
71.5,72.5,72.0,9062
72.5,73.5,73.0,8780
73.5,74.5,74.0,8266
74.5,75.5,75.0,8145
75.5,76.5,76.0,8162
76.5,77.5,77.0,8202
77.5,78.5,78.0,8278
78.5,79.5,79.0,8280
79.5,80.5,80.0,8177
80.5,81.5,81.0,7870
81.5,82.5,82.0,7706
82.5,83.5,83.0,7944
83.5,84.5,84.0,8327
84.5,85.5,85.0,9340
85.5,86.5,86.0,11017
86.5,87.5,87.0,11817
87.5,88.5,88.0,12831
88.5,89.5,89.0,13021
89.5,90.5,90.0,15114
90.5,91.5,91.0,16081
91.5,92.5,92.0,17619
92.5,93.5,93.0,18537
93.5,94.5,94.0,15053
94.5,95.5,95.0,15370
95.5,96.5,96.0,17149
96.5,97.5,97.0,14204
97.5,98.5,98.0,12380
98.5,99.5,99.0,2088
99.5,100.5,100.0,0
