bucket_lower,bucket_upper,bucket_center,cell_count
-0.5,0.5,0.0,112
0.5,1.5,1.0,2817
1.5,2.5,2.0,3247
2.5,3.5,3.0,4739
3.5,4.5,4.0,6541
4.5,5.5,5.0,6702
5.5,6.5,6.0,6376
6.5,7.5,7.0,8482
7.5,8.5,8.0,11380
8.5,9.5,9.0,9566
9.5,10.5,10.0,11690
10.5,11.5,11.0,12116
11.5,12.5,12.0,11062
12.5,13.5,13.0,10106
13.5,14.5,14.0,9975
14.5,15.5,15.0,10559
15.5,16.5,16.0,12736
16.5,17.5,17.0,10163
17.5,18.5,18.0,9615
18.5,19.5,19.0,9541
19.5,20.5,20.0,9746
20.5,21.5,21.0,10205
21.5,22.5,22.0,11270
22.5,23.5,23.0,11580
23.5,24.5,24.0,11527
24.5,25.5,25.0,11392
25.5,26.5,26.0,11242
26.5,27.5,27.0,11242
27.5,28.5,28.0,12021
28.5,29.5,29.0,11243
29.5,30.5,30.0,10664
30.5,31.5,31.0,10442
31.5,32.5,32.0,10516
32.5,33.5,33.0,10614
33.5,34.5,34.0,10793
34.5,35.5,35.0,10708
35.5,36.5,36.0,10738
36.5,37.5,37.0,10874
37.5,38.5,38.0,11007
38.5,39.5,39.0,11172
39.5,40.5,40.0,11378
40.5,41.5,41.0,11718
41.5,42.5,42.0,12156
42.5,43.5,43.0,12765
43.5,44.5,44.0,12892
44.5,45.5,45.0,12832
45.5,46.5,46.0,12277
46.5,47.5,47.0,11534
47.5,48.5,48.0,11125
48.5,49.5,49.0,10723
49.5,50.5,50.0,10300
50.5,51.5,51.0,9946
51.5,52.5,52.0,9694
52.5,53.5,53.0,9486
53.5,54.5,54.0,9371
54.5,55.5,55.0,9316
55.5,56.5,56.0,9260
56.5,57.5,57.0,9228
57.5,58.5,58.0,9214
58.5,59.5,59.0,9253
59.5,60.5,60.0,9224
60.5,61.5,61.0,9397
61.5,62.5,62.0,9508
62.5,63.5,63.0,9551
63.5,64.5,64.0,9585
64.5,65.5,65.0,9660
65.5,66.5,66.0,9715
66.5,67.5,67.0,9919
67.5,68.5,68.0,10042
68.5,69.5,69.0,10179
69.5,70.5,70.0,10265
70.5,71.5,71.0,10281
71.5,72.5,72.0,10253
72.5,73.5,73.0,10282
73.5,74.5,74.0,10370
74.5,75.5,75.0,10841
75.5,76.5,76.0,11434
76.5,77.5,77.0,12647
77.5,78.5,78.0,12950
78.5,79.5,79.0,13268
79.5,80.5,80.0,14350
80.5,81.5,81.0,13938
81.5,82.5,82.0,15101
82.5,83.5,83.0,17558
83.5,84.5,84.0,19301
84.5,85.5,85.0,19450
85.5,86.5,86.0,21791
86.5,87.5,87.0,21278
87.5,88.5,88.0,14606
88.5,89.5,89.0,12254
89.5,90.5,90.0,10972
90.5,91.5,91.0,8817
91.5,92.5,92.0,8402
92.5,93.5,93.0,4230
93.5,94.5,94.0,3915
94.5,95.5,95.0,4514
95.5,96.5,96.0,4857
96.5,97.5,97.0,1026
97.5,98.5,98.0,0
98.5,99.5,99.0,0
99.5,100.5,100.0,0
